EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
GICRE IN Equity,GEN INS CORP OF,669917640000.00,669917640000.00,381.85,34.97,-11.70,505297500000.00
COFORGE IN Equity,COFORGE LTD,662190138467.10,662190138467.10,1977.90,60.27,3.30,144024000000.00
ATGL IN Equity,ADANI TOTAL GAS,652352350731.45,652352350731.45,593.15,99.69,-22.03,49998600000.00
BOI IN Equity,BANK OF INDIA,651532298303.26,651532298303.26,143.11,6.75,45.47,834487200000.00
TPW IN Equity,TORRENT POWER LT,649985180115.70,649985180115.70,1289.90,21.07,-11.92,288409900000.00
MRF IN Equity,MRF LTD,649785519030.00,649785519030.00,153210.00,34.75,17.47,281531800000.00
RVNL IN Equity,RAIL VIKAS NIGAM,648128498085.00,648128498085.00,310.85,50.54,-26.08,199230200000.00
BRGR IN Equity,BERGER PAINTS,646488654955.50,646488654955.50,554.50,54.79,24.44,114025800000.00
LLOYDSME IN Equity,LLOYDS METALS,642424777509.60,642424777509.60,1220.30,44.03,-0.86,67214000000.00
UPLL IN Equity,UPL LTD,640161839053.40,640161839053.40,759.10,63.52,52.91,462620000000.00
FB IN Equity,FED BANK LTD,637588074931.20,637588074931.20,259.20,15.27,30.38,320302486000.00
GPL IN Equity,GODREJ PROPERTIE,627232090745.60,627232090745.60,2082.40,40.24,-25.27,42655500000.00
JDSL IN Equity,JINDAL STAINLESS,622766556775.20,622766556775.20,755.40,24.83,8.48,389443000000.00
VMM IN Equity,VISHAL MEGA MART,621649563282.18,621649563282.18,133.03,95.02,24.99,107005980000.00
HDBFS IN Equity,HDB FINANCIAL SE,621345478523.00,621345478523.00,749.00,27.34,,163002800000.00
PHNX IN Equity,PHOENIX MILLS,616882493981.00,616882493981.00,1725.10,62.66,5.74,37193323000.00
BOOT IN Equity,ABBOTT INDIA LTD,615061046390.00,615061046390.00,28945.00,43.49,-1.31,64091500000.00
SCHFL IN Equity,SCHAEFFLER INDIA,613992076494.00,613992076494.00,3928.20,65.40,16.32,82323800000.00
